,species,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g
0,0,39.1,18.7,181.0,3750.0
1,0,39.5,17.4,186.0,3800.0
2,0,40.3,18.0,195.0,3250.0
4,0,36.7,19.3,193.0,3450.0
5,0,39.3,20.6,190.0,3650.0
6,0,38.9,17.8,181.0,3625.0
7,0,39.2,19.6,195.0,4675.0
12,0,41.1,17.6,182.0,3200.0
13,0,38.6,21.2,191.0,3800.0
14,0,34.6,21.1,198.0,4400.0
15,0,36.6,17.8,185.0,3700.0
16,0,38.7,19.0,195.0,3450.0
17,0,42.5,20.7,197.0,4500.0
18,0,34.4,18.4,184.0,3325.0
19,0,46.0,21.5,194.0,4200.0
20,0,37.8,18.3,174.0,3400.0
21,0,37.7,18.7,180.0,3600.0
22,0,35.9,19.2,189.0,3800.0
23,0,38.2,18.1,185.0,3950.0
24,0,38.8,17.2,180.0,3800.0
25,0,35.3,18.9,187.0,3800.0
26,0,40.6,18.6,183.0,3550.0
27,0,40.5,17.9,187.0,3200.0
28,0,37.9,18.6,172.0,3150.0
29,0,40.5,18.9,180.0,3950.0
30,0,39.5,16.7,178.0,3250.0
31,0,37.2,18.1,178.0,3900.0
32,0,39.5,17.8,188.0,3300.0
33,0,40.9,18.9,184.0,3900.0
34,0,36.4,17.0,195.0,3325.0
35,0,39.2,21.1,196.0,4150.0
36,0,38.8,20.0,190.0,3950.0
37,0,42.2,18.5,180.0,3550.0
38,0,37.6,19.3,181.0,3300.0
39,0,39.8,19.1,184.0,4650.0
40,0,36.5,18.0,182.0,3150.0
41,0,40.8,18.4,195.0,3900.0
42,0,36.0,18.5,186.0,3100.0
43,0,44.1,19.7,196.0,4400.0
44,0,37.0,16.9,185.0,3000.0
45,0,39.6,18.8,190.0,4600.0
46,0,41.1,19.0,182.0,3425.0
48,0,36.0,17.9,190.0,3450.0
49,0,42.3,21.2,191.0,4150.0
50,0,39.6,17.7,186.0,3500.0
51,0,40.1,18.9,188.0,4300.0
52,0,35.0,17.9,190.0,3450.0
53,0,42.0,19.5,200.0,4050.0
54,0,34.5,18.1,187.0,2900.0
55,0,41.4,18.6,191.0,3700.0
56,0,39.0,17.5,186.0,3550.0
57,0,40.6,18.8,193.0,3800.0
58,0,36.5,16.6,181.0,2850.0
59,0,37.6,19.1,194.0,3750.0
60,0,35.7,16.9,185.0,3150.0
61,0,41.3,21.1,195.0,4400.0
62,0,37.6,17.0,185.0,3600.0
63,0,41.1,18.2,192.0,4050.0
64,0,36.4,17.1,184.0,2850.0
65,0,41.6,18.0,192.0,3950.0
66,0,35.5,16.2,195.0,3350.0
67,0,41.1,19.1,188.0,4100.0
68,0,35.9,16.6,190.0,3050.0
69,0,41.8,19.4,198.0,4450.0
70,0,33.5,19.0,190.0,3600.0
71,0,39.7,18.4,190.0,3900.0
72,0,39.6,17.2,196.0,3550.0
73,0,45.8,18.9,197.0,4150.0
74,0,35.5,17.5,190.0,3700.0
75,0,42.8,18.5,195.0,4250.0
76,0,40.9,16.8,191.0,3700.0
77,0,37.2,19.4,184.0,3900.0
78,0,36.2,16.1,187.0,3550.0
79,0,42.1,19.1,195.0,4000.0
80,0,34.6,17.2,189.0,3200.0
81,0,42.9,17.6,196.0,4700.0
82,0,36.7,18.8,187.0,3800.0
83,0,35.1,19.4,193.0,4200.0
84,0,37.3,17.8,191.0,3350.0
85,0,41.3,20.3,194.0,3550.0
86,0,36.3,19.5,190.0,3800.0
87,0,36.9,18.6,189.0,3500.0
88,0,38.3,19.2,189.0,3950.0
89,0,38.9,18.8,190.0,3600.0
90,0,35.7,18.0,202.0,3550.0
91,0,41.1,18.1,205.0,4300.0
92,0,34.0,17.1,185.0,3400.0
93,0,39.6,18.1,186.0,4450.0
94,0,36.2,17.3,187.0,3300.0
95,0,40.8,18.9,208.0,4300.0
96,0,38.1,18.6,190.0,3700.0
97,0,40.3,18.5,196.0,4350.0
98,0,33.1,16.1,178.0,2900.0
99,0,43.2,18.5,192.0,4100.0
100,0,35.0,17.9,192.0,3725.0
101,0,41.0,20.0,203.0,4725.0
102,0,37.7,16.0,183.0,3075.0
103,0,37.8,20.0,190.0,4250.0
104,0,37.9,18.6,193.0,2925.0
105,0,39.7,18.9,184.0,3550.0
106,0,38.6,17.2,199.0,3750.0
107,0,38.2,20.0,190.0,3900.0
108,0,38.1,17.0,181.0,3175.0
109,0,43.2,19.0,197.0,4775.0
110,0,38.1,16.5,198.0,3825.0
111,0,45.6,20.3,191.0,4600.0
112,0,39.7,17.7,193.0,3200.0
113,0,42.2,19.5,197.0,4275.0
114,0,39.6,20.7,191.0,3900.0
115,0,42.7,18.3,196.0,4075.0
116,0,38.6,17.0,188.0,2900.0
117,0,37.3,20.5,199.0,3775.0
118,0,35.7,17.0,189.0,3350.0
119,0,41.1,18.6,189.0,3325.0
120,0,36.2,17.2,187.0,3150.0
121,0,37.7,19.8,198.0,3500.0
122,0,40.2,17.0,176.0,3450.0
123,0,41.4,18.5,202.0,3875.0
124,0,35.2,15.9,186.0,3050.0
125,0,40.6,19.0,199.0,4000.0
126,0,38.8,17.6,191.0,3275.0
127,0,41.5,18.3,195.0,4300.0
128,0,39.0,17.1,191.0,3050.0
129,0,44.1,18.0,210.0,4000.0
130,0,38.5,17.9,190.0,3325.0
131,0,43.1,19.2,197.0,3500.0
132,0,36.8,18.5,193.0,3500.0
133,0,37.5,18.5,199.0,4475.0
134,0,38.1,17.6,187.0,3425.0
135,0,41.1,17.5,190.0,3900.0
136,0,35.6,17.5,191.0,3175.0
137,0,40.2,20.1,200.0,3975.0
138,0,37.0,16.5,185.0,3400.0
139,0,39.7,17.9,193.0,4250.0
140,0,40.2,17.1,193.0,3400.0
141,0,40.6,17.2,187.0,3475.0
142,0,32.1,15.5,188.0,3050.0
143,0,40.7,17.0,190.0,3725.0
144,0,37.3,16.8,192.0,3000.0
145,0,39.0,18.7,185.0,3650.0
146,0,39.2,18.6,190.0,4250.0
147,0,36.6,18.4,184.0,3475.0
148,0,36.0,17.8,195.0,3450.0
149,0,37.8,18.1,193.0,3750.0
150,0,36.0,17.1,187.0,3700.0
151,0,41.5,18.5,201.0,4000.0
152,2,46.1,13.2,211.0,4500.0
153,2,50.0,16.3,230.0,5700.0
154,2,48.7,14.1,210.0,4450.0
155,2,50.0,15.2,218.0,5700.0
156,2,47.6,14.5,215.0,5400.0
157,2,46.5,13.5,210.0,4550.0
158,2,45.4,14.6,211.0,4800.0
159,2,46.7,15.3,219.0,5200.0
160,2,43.3,13.4,209.0,4400.0
161,2,46.8,15.4,215.0,5150.0
162,2,40.9,13.7,214.0,4650.0
163,2,49.0,16.1,216.0,5550.0
164,2,45.5,13.7,214.0,4650.0
165,2,48.4,14.6,213.0,5850.0
166,2,45.8,14.6,210.0,4200.0
167,2,49.3,15.7,217.0,5850.0
168,2,42.0,13.5,210.0,4150.0
169,2,49.2,15.2,221.0,6300.0
170,2,46.2,14.5,209.0,4800.0
171,2,48.7,15.1,222.0,5350.0
172,2,50.2,14.3,218.0,5700.0
173,2,45.1,14.5,215.0,5000.0
174,2,46.5,14.5,213.0,4400.0
175,2,46.3,15.8,215.0,5050.0
176,2,42.9,13.1,215.0,5000.0
177,2,46.1,15.1,215.0,5100.0
179,2,47.8,15.0,215.0,5650.0
180,2,48.2,14.3,210.0,4600.0
181,2,50.0,15.3,220.0,5550.0
182,2,47.3,15.3,222.0,5250.0
183,2,42.8,14.2,209.0,4700.0
184,2,45.1,14.5,207.0,5050.0
185,2,59.6,17.0,230.0,6050.0
186,2,49.1,14.8,220.0,5150.0
187,2,48.4,16.3,220.0,5400.0
188,2,42.6,13.7,213.0,4950.0
189,2,44.4,17.3,219.0,5250.0
190,2,44.0,13.6,208.0,4350.0
191,2,48.7,15.7,208.0,5350.0
192,2,42.7,13.7,208.0,3950.0
193,2,49.6,16.0,225.0,5700.0
194,2,45.3,13.7,210.0,4300.0
195,2,49.6,15.0,216.0,4750.0
196,2,50.5,15.9,222.0,5550.0
197,2,43.6,13.9,217.0,4900.0
198,2,45.5,13.9,210.0,4200.0
199,2,50.5,15.9,225.0,5400.0
200,2,44.9,13.3,213.0,5100.0
201,2,45.2,15.8,215.0,5300.0
202,2,46.6,14.2,210.0,4850.0
203,2,48.5,14.1,220.0,5300.0
204,2,45.1,14.4,210.0,4400.0
205,2,50.1,15.0,225.0,5000.0
206,2,46.5,14.4,217.0,4900.0
207,2,45.0,15.4,220.0,5050.0
208,2,43.8,13.9,208.0,4300.0
209,2,45.5,15.0,220.0,5000.0
210,2,43.2,14.5,208.0,4450.0
211,2,50.4,15.3,224.0,5550.0
212,2,45.3,13.8,208.0,4200.0
213,2,46.2,14.9,221.0,5300.0
214,2,45.7,13.9,214.0,4400.0
215,2,54.3,15.7,231.0,5650.0
216,2,45.8,14.2,219.0,4700.0
217,2,49.8,16.8,230.0,5700.0
219,2,49.5,16.2,229.0,5800.0
220,2,43.5,14.2,220.0,4700.0
221,2,50.7,15.0,223.0,5550.0
222,2,47.7,15.0,216.0,4750.0
223,2,46.4,15.6,221.0,5000.0
224,2,48.2,15.6,221.0,5100.0
225,2,46.5,14.8,217.0,5200.0
226,2,46.4,15.0,216.0,4700.0
227,2,48.6,16.0,230.0,5800.0
228,2,47.5,14.2,209.0,4600.0
229,2,51.1,16.3,220.0,6000.0
230,2,45.2,13.8,215.0,4750.0
231,2,45.2,16.4,223.0,5950.0
232,2,49.1,14.5,212.0,4625.0
233,2,52.5,15.6,221.0,5450.0
234,2,47.4,14.6,212.0,4725.0
235,2,50.0,15.9,224.0,5350.0
236,2,44.9,13.8,212.0,4750.0
237,2,50.8,17.3,228.0,5600.0
238,2,43.4,14.4,218.0,4600.0
239,2,51.3,14.2,218.0,5300.0
240,2,47.5,14.0,212.0,4875.0
241,2,52.1,17.0,230.0,5550.0
242,2,47.5,15.0,218.0,4950.0
243,2,52.2,17.1,228.0,5400.0
244,2,45.5,14.5,212.0,4750.0
245,2,49.5,16.1,224.0,5650.0
246,2,44.5,14.7,214.0,4850.0
247,2,50.8,15.7,226.0,5200.0
248,2,49.4,15.8,216.0,4925.0
249,2,46.9,14.6,222.0,4875.0
250,2,48.4,14.4,203.0,4625.0
251,2,51.1,16.5,225.0,5250.0
252,2,48.5,15.0,219.0,4850.0
253,2,55.9,17.0,228.0,5600.0
254,2,47.2,15.5,215.0,4975.0
255,2,49.1,15.0,228.0,5500.0
257,2,46.8,16.1,215.0,5500.0
258,2,41.7,14.7,210.0,4700.0
259,2,53.4,15.8,219.0,5500.0
260,2,43.3,14.0,208.0,4575.0
261,2,48.1,15.1,209.0,5500.0
262,2,50.5,15.2,216.0,5000.0
263,2,49.8,15.9,229.0,5950.0
264,2,43.5,15.2,213.0,4650.0
265,2,51.5,16.3,230.0,5500.0
266,2,46.2,14.1,217.0,4375.0
267,2,55.1,16.0,230.0,5850.0
269,2,48.8,16.2,222.0,6000.0
270,2,47.2,13.7,214.0,4925.0
272,2,46.8,14.3,215.0,4850.0
273,2,50.4,15.7,222.0,5750.0
274,2,45.2,14.8,212.0,5200.0
275,2,49.9,16.1,213.0,5400.0
276,1,46.5,17.9,192.0,3500.0
277,1,50.0,19.5,196.0,3900.0
278,1,51.3,19.2,193.0,3650.0
279,1,45.4,18.7,188.0,3525.0
280,1,52.7,19.8,197.0,3725.0
281,1,45.2,17.8,198.0,3950.0
282,1,46.1,18.2,178.0,3250.0
283,1,51.3,18.2,197.0,3750.0
284,1,46.0,18.9,195.0,4150.0
285,1,51.3,19.9,198.0,3700.0
286,1,46.6,17.8,193.0,3800.0
287,1,51.7,20.3,194.0,3775.0
288,1,47.0,17.3,185.0,3700.0
289,1,52.0,18.1,201.0,4050.0
290,1,45.9,17.1,190.0,3575.0
291,1,50.5,19.6,201.0,4050.0
292,1,50.3,20.0,197.0,3300.0
293,1,58.0,17.8,181.0,3700.0
294,1,46.4,18.6,190.0,3450.0
295,1,49.2,18.2,195.0,4400.0
296,1,42.4,17.3,181.0,3600.0
297,1,48.5,17.5,191.0,3400.0
298,1,43.2,16.6,187.0,2900.0
299,1,50.6,19.4,193.0,3800.0
300,1,46.7,17.9,195.0,3300.0
301,1,52.0,19.0,197.0,4150.0
302,1,50.5,18.4,200.0,3400.0
303,1,49.5,19.0,200.0,3800.0
304,1,46.4,17.8,191.0,3700.0
305,1,52.8,20.0,205.0,4550.0
306,1,40.9,16.6,187.0,3200.0
307,1,54.2,20.8,201.0,4300.0
308,1,42.5,16.7,187.0,3350.0
309,1,51.0,18.8,203.0,4100.0
310,1,49.7,18.6,195.0,3600.0
311,1,47.5,16.8,199.0,3900.0
312,1,47.6,18.3,195.0,3850.0
313,1,52.0,20.7,210.0,4800.0
314,1,46.9,16.6,192.0,2700.0
315,1,53.5,19.9,205.0,4500.0
316,1,49.0,19.5,210.0,3950.0
317,1,46.2,17.5,187.0,3650.0
318,1,50.9,19.1,196.0,3550.0
319,1,45.5,17.0,196.0,3500.0
320,1,50.9,17.9,196.0,3675.0
321,1,50.8,18.5,201.0,4450.0
322,1,50.1,17.9,190.0,3400.0
323,1,49.0,19.6,212.0,4300.0
324,1,51.5,18.7,187.0,3250.0
325,1,49.8,17.3,198.0,3675.0
326,1,48.1,16.4,199.0,3325.0
327,1,51.4,19.0,201.0,3950.0
328,1,45.7,17.3,193.0,3600.0
329,1,50.7,19.7,203.0,4050.0
330,1,42.5,17.3,187.0,3350.0
331,1,52.2,18.8,197.0,3450.0
332,1,45.2,16.6,191.0,3250.0
333,1,49.3,19.9,203.0,4050.0
334,1,50.2,18.8,202.0,3800.0
335,1,45.6,19.4,194.0,3525.0
336,1,51.9,19.5,206.0,3950.0
337,1,46.8,16.5,189.0,3650.0
338,1,45.7,17.0,195.0,3650.0
339,1,55.8,19.8,207.0,4000.0
340,1,43.5,18.1,202.0,3400.0
341,1,49.6,18.2,193.0,3775.0
342,1,50.8,19.0,210.0,4100.0
343,1,50.2,18.7,198.0,3775.0
